label,template
legit,"Recently relocated for work and mailing and residential address differ temporarily."
legit,"Moved to {city} last month for new job opportunity."
legit,"Currently staying with family while apartment lease finalizes."
legit,"Address updated after recent move and utility transfer in progress."
legit,"Temporary housing while relocating to {state} for employment."
legit,"Recently purchased home and previous address was rental."
legit,"College graduate recently moved to new city for first job."
fraud_like,"Applicant unable to clearly explain address discrepancy."
fraud_like,"Address provided does not match any documentation."
fraud_like,"Multiple different addresses provided during verification."
fraud_like,"Claimed address appears to be commercial property."
fraud_like,"No clear explanation for address mismatch with documents."
fraud_like,"Address history appears inconsistent with stated timeline."
