model,split,roc_auc,pr_auc,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives
Logistic Regression,train,0.9979274611398963,0.9860544402900463,0.8485523385300668,0.9870466321243523,0.9125748502994012,2847,68,5,381
Logistic Regression,val,0.9877543859649123,0.952265022033806,0.84375,0.9473684210526315,0.8925619834710744,730,20,6,108
Logistic Regression,test,0.9882721088435373,0.9444020009766608,0.8037383177570093,0.86,0.8309178743961353,714,21,14,86
LightGBM,train,1.0,1.0,1.0,1.0,1.0,2915,0,0,386
LightGBM,val,0.9962339181286549,0.9811766571419178,0.9532710280373832,0.8947368421052632,0.9230769230769231,745,5,12,102
LightGBM,test,0.9950340136054422,0.9743678833594588,0.967391304347826,0.89,0.9270833333333334,732,3,11,89
XGBoost,train,0.9999342333294821,0.9994898757732735,0.9796954314720813,1.0,0.9897435897435898,2907,8,0,386
XGBoost,val,0.9945847953216373,0.9733365296489042,0.918918918918919,0.8947368421052632,0.9066666666666666,741,9,12,102
XGBoost,test,0.9920816326530612,0.9595414749024962,0.8979591836734694,0.88,0.8888888888888888,725,10,12,88
